# contact :: ERA5 max temperatures SEurope heatwave 2023, m.zachariah@imperial.ac.uk 
# temperature [degC] 7-day max tmax SEurope at SEurope_tasmax-7dayAnnual_ERA5
# year tmax
1950 31.09821319580078
1951 28.039796829223633
1952 30.711013793945312
1953 29.726654052734375
1954 28.995943069458008
1955 28.129825592041016
1956 28.585317611694336
1957 29.43880271911621
1958 30.069705963134766
1959 28.049423217773438
1960 28.731355667114258
1961 28.83864402770996
1962 29.613414764404297
1963 27.777212142944336
1964 28.8132266998291
1965 28.70732879638672
1966 28.589784622192383
1967 29.35451889038086
1968 29.633541107177734
1969 27.780315399169922
1970 28.336315155029297
1971 28.681276321411133
1972 27.314617156982422
1973 28.4293155670166
1974 28.970781326293945
1975 28.74455451965332
1976 26.328834533691406
1977 26.31067657470703
1978 28.763879776000977
1979 29.088924407958984
1980 29.700532913208008
1981 28.256980895996094
1982 28.793354034423828
1983 30.220272064208984
1984 28.519020080566406
1985 29.40595054626465
1986 28.72848892211914
1987 29.651155471801758
1988 29.802278518676758
1989 28.669055938720703
1990 29.060903549194336
1991 28.744775772094727
1992 29.782005310058594
1993 30.150562286376953
1994 29.962820053100586
1995 29.955095291137695
1996 28.136795043945312
1997 27.127992630004883
1998 30.27548599243164
1999 29.119699478149414
2000 30.83640480041504
2001 29.672643661499023
2002 29.456668853759766
2003 31.453996658325195
2004 29.74627685546875
2005 29.703353881835938
2006 30.612947463989258
2007 30.306127548217773
2008 29.935646057128906
2009 30.229833602905273
2010 29.929485321044922
2011 31.094667434692383
2012 32.07632064819336
2013 30.651790618896484
2014 28.25344467163086
2015 31.781696319580078
2016 29.421701431274414
2017 32.49530029296875
2018 30.147010803222656
2019 30.98738670349121
2020 31.65494728088379
2021 32.59788513183594
2022 32.063720703125
2023 32.234947204589844
