,dataset,covariate,covariate_matched,attr_type,distribution,fit_type,lower_tail,include_event,fitted_years,N,event_year,vs_gmst,return_time,sigma_est,sigma_lower,sigma_upper,disp_est,disp_lower,disp_upper,alpha_est,alpha_lower,alpha_upper,event_magnitude,rp_est,rp_lower,rp_upper,gmst_now,pr_est,pr_lower,pr_upper,DI_est,DI_lower,DI_upper
AFR-22_rs_duration_MPI-M-MPI-ESM-LR_r1i1p1_CLMcom-KIT-CCLM5-0-15 attr-now,AFR-22_rs_duration_MPI-M-MPI-ESM-LR_r1i1p1_CLMcom-KIT-CCLM5-0-15,tas Amon MPI-ESM-LR rcp85 r1i1p1,True,present,gauss,shift,True,True,-2022,73,2021,-1.2,3,19.775,16.524,22.172,,,,-3.553,-14.886,7.622,74.746,3.0000,1.7887,7.1233,1.2,1.2869,0.52203,2.6550,-4.264,-17.866,9.138
AFR-22_rs_duration_MPI-M-MPI-ESM-MR_r1i1p1_ICTP-RegCM4-7 attr-now,AFR-22_rs_duration_MPI-M-MPI-ESM-MR_r1i1p1_ICTP-RegCM4-7,tas Amon MPI-ESM-MR rcp85 r1i1p1,True,present,gauss,shift,True,True,-2022,53,2021,-1.2,3,13.433,10.993,15.117,,,,-5.127,-15.386,6.288,52.645,3.0000,1.7491,7.9891,1.2,1.7818,0.44780,7.2696,-6.152,-18.463,7.531
AFR-22_rs_duration_MOHC-HadGEM2-ES_r1i1p1_GERICS-REMO2015 attr-now,AFR-22_rs_duration_MOHC-HadGEM2-ES_r1i1p1_GERICS-REMO2015,tas Amon HadGEM2-ES rcp85 r1i1p1,True,present,gauss,shift,True,True,-2022,53,2021,-1.2,3,14.268,10.681,16.849,,,,3.142,-5.093,12.637,89.585,3.0000,1.7648,7.8609,1.2,0.76823,0.25477,1.4918,3.770,-6.112,15.157
AFR-22_rs_duration_NCC-NorESM1-M_r1i1p1_CLMcom-KIT-CCLM5-0-15 attr-now,AFR-22_rs_duration_NCC-NorESM1-M_r1i1p1_CLMcom-KIT-CCLM5-0-15,tas Amon NorESM1-M rcp85 r1i1p1,True,present,gauss,shift,True,True,-2022,73,2021,-1.2,3,18.835,15.784,20.950,,,,15.760,3.430,28.807,78.529,3.0000,1.9786,6.2272,1.2,0.46503,0.19980,0.85488,18.912,4.116,34.483
AFR-22_rs_duration_NCC-NorESM1-M_r1i1p1_CLMcom-KIT-CCLM5-0-15 attr-future,AFR-22_rs_duration_NCC-NorESM1-M_r1i1p1_CLMcom-KIT-CCLM5-0-15,tas Amon NorESM1-M rcp85 r1i1p1,True,future,gauss,shift,True,True,-2050,101,2021,0.8,3,21.224,18.541,23.630,,,,-0.464,-7.631,7.012,66.021,3.0000,2.3668,4.1046,-0.8,0.98121,0.76097,1.3972,0.371,-5.589,6.107
AFR-22_rs_duration_NCC-NorESM1-M_r1i1p1_ICTP-RegCM4-7 validation,AFR-22_rs_duration_NCC-NorESM1-M_r1i1p1_ICTP-RegCM4-7,tas Amon NorESM1-M rcp85 r1i1p1,True,validation,gauss,shift,True,True,1981-2022,42,2021,-1.2,3,11.701,9.357,13.301,,,,9.632,-5.732,24.604,46.569,3.0000,1.6002,8.1591,1.2,0.46865,0.13536,1.6855,11.558,-6.879,29.469
AFR-22_rs_duration_NCC-NorESM1-M_r1i1p1_CLMcom-KIT-CCLM5-0-15 validation,AFR-22_rs_duration_NCC-NorESM1-M_r1i1p1_CLMcom-KIT-CCLM5-0-15,tas Amon NorESM1-M rcp85 r1i1p1,True,validation,gauss,shift,True,True,1981-2022,42,2021,-1.2,3,16.605,11.905,19.986,,,,-4.351,-23.747,13.443,73.016,3.0000,1.7343,8.7293,1.2,1.4614,0.27638,9.2919,-5.221,-28.501,16.130
AFR-22_rs_duration_MPI-M-MPI-ESM-LR_r1i1p1_GERICS-REMO2015 attr-now,AFR-22_rs_duration_MPI-M-MPI-ESM-LR_r1i1p1_GERICS-REMO2015,tas Amon MPI-ESM-LR rcp85 r1i1p1,True,present,gauss,shift,True,True,-2022,53,2021,-1.2,3,15.994,12.288,18.723,,,,0.876,-14.002,13.188,81.482,3.0000,1.6510,7.8561,1.2,0.93224,0.29682,3.0387,1.052,-16.803,15.808
AFR-22_rs_duration_MPI-M-MPI-ESM-LR_r1i1p1_GERICS-REMO2015 attr-future,AFR-22_rs_duration_MPI-M-MPI-ESM-LR_r1i1p1_GERICS-REMO2015,tas Amon MPI-ESM-LR rcp85 r1i1p1,True,future,gauss,shift,True,True,-2050,81,2021,0.8,3,16.815,13.975,19.046,,,,5.677,-0.375,11.767,84.593,3.0000,2.3131,4.3808,-0.8,1.3791,0.98128,2.3241,-4.542,-9.411,0.301
AFR-22_rs_duration_MOHC-HadGEM2-ES_r1i1p1_CLMcom-KIT-CCLM5-0-15 attr-future,AFR-22_rs_duration_MOHC-HadGEM2-ES_r1i1p1_CLMcom-KIT-CCLM5-0-15,tas Amon HadGEM2-ES rcp85 r1i1p1,True,future,gauss,shift,True,True,-2050,101,2021,0.8,3,19.922,17.055,22.416,,,,3.987,-0.793,8.605,92.807,3.0000,2.3778,4.0521,-0.8,1.2020,0.96796,1.6059,-3.190,-6.875,0.636
