#time june_total
1970 20.33429
1971 21.640902
1972 7.7050457
1973 9.420751
1974 14.410506
1975 15.704127
1976 18.980597
1977 24.138315
1978 25.081766
1979 51.05624
1980 17.614462
1981 22.099518
1982 13.072559
1983 21.923677
1984 15.46808
1985 28.452202
1986 26.360044
1987 6.492383
1988 18.285892
1989 18.186775
1990 16.854078
1991 44.792557
1992 18.226408
1993 18.349184
1994 37.460808
1995 52.508167
1996 25.67192
1997 52.90092
1998 41.154545
1999 18.207506
2000 37.56607
2001 19.266582
2002 38.290073
2003 11.29945
2004 20.82587
2005 37.814793
2006 44.083786
2007 22.094477
2008 46.306683
2009 69.443886
2010 15.032568
2011 21.605017
2012 42.437115
2013 11.722363
2014 43.453617
2015 28.353785
2016 16.391378
2017 24.861422
2018 17.903605
2019 22.699505
2020 21.840837
2021 22.101019
2022 31.75896
2023 27.32319
2024 59.744396
2025 61.878567
2026 40.93137
2027 36.420483
2028 20.470627
2029 58.500095
2030 49.383675
2031 24.5472
2032 35.35143
2033 52.31261
2034 41.22228
2035 32.02701
2036 41.3844
2037 58.218433
2038 13.535312
2039 42.787292
2040 34.698814
2041 42.613525
2042 32.9104
2043 46.955845
2044 25.775555
2045 24.337439
2046 23.084972
2047 44.998722
2048 30.619577
2049 24.721655
2050 26.297081
# variable [mm d-1]
# AFR-22_june_total_MOHC-HadGEM2-ES_r1i1p1_GERICS-REMO2015
