#time rs_duration
1950 76
1951 69
1952 110
1953 70
1954 68
1955 112
1956 127
1957 67
1958 102
1959 117
1960 79
1961 114
1962 81
1963 81
1964 111
1965 78
1966 100
1967 95
1968 74
1969 89
1970 75
1971 58
1972 126
1973 90
1974 59
1975 95
1976 102
1977 95
1978 102
1979 120
1980 114
1981 136
1982 96
1983 84
1984 36
1985 117
1986 72
1987 81
1988 105
1989 101
1990 82
1991 132
1992 70
1993 100
1994 114
1995 83
1996 112
1997 118
1998 103
1999 133
2000 74
2001 120
2002 114
2003 98
2004 108
2005 104
2006 121
2007 77
2008 97
2009 99
2010 112
2011 109
2012 138
2013 104
2014 91
2015 120
2016 88
2017 86
2018 115
2019 105
2020 112
2021 58
2022 112
2023 81
2024 97
2025 119
2026 118
2027 132
2028 114
2029 119
2030 98
2031 71
2032 118
2033 120
2034 111
2035 86
2036 116
2037 106
2038 99
2039 95
2040 102
2041 104
2042 121
2043 117
2044 57
2045 128
2046 105
2047 96
2048 102
2049 82
2050 88
# AFR-22_rs_duration_MOHC-HadGEM2-ES_r1i1p1_CLMcom-KIT-CCLM5-0-15
