#time rs_duration
1970 58
1971 101
1972 98
1973 97
1974 109
1975 91
1976 100
1977 86
1978 93
1979 119
1980 62
1981 96
1982 91
1983 97
1984 45
1985 74
1986 88
1987 85
1988 86
1989 78
1990 77
1991 109
1992 78
1993 98
1994 66
1995 94
1996 81
1997 93
1998 83
1999 101
2000 88
2001 96
2002 77
2003 70
2004 78
2005 116
2006 80
2007 83
2008 65
2009 89
2010 94
2011 108
2012 83
2013 89
2014 89
2015 64
2016 111
2017 107
2018 95
2019 104
2020 86
2021 101
2022 46
2023 102
2024 116
2025 58
2026 97
2027 92
2028 106
2029 82
2030 63
2031 91
2032 92
2033 66
2034 103
2035 98
2036 87
2037 121
2038 69
2039 114
2040 87
2041 113
2042 115
2043 124
2044 106
2045 87
2046 125
2047 74
2048 75
2049 98
2050 91
# AFR-22_rs_duration_MPI-M-MPI-ESM-LR_r1i1p1_GERICS-REMO2015
