#time rs_onset
1970 181
1971 186
1972 222
1973 136
1974 201
1975 135
1976 191
1977 220
1978 191
1979 201
1980 136
1981 142
1982 121
1983 143
1984 208
1985 156
1986 175
1987 182
1988 177
1989 151
1990 145
1991 196
1992 190
1993 200
1994 187
1995 142
1996 183
1997 205
1998 190
1999 129
2000 131
2001 158
2002 126
2003 200
2004 156
2005 183
2006 202
2007 131
2008 191
2009 186
2010 165
2011 175
2012 173
2013 148
2014 151
2015 142
2016 144
2017 178
2018 137
2019 142
2020 196
2021 201
2022 187
2023 193
2024 183
2025 135
2026 190
2027 145
2028 126
2029 165
2030 182
2031 154
2032 153
2033 156
2034 184
2035 155
2036 149
2037 199
2038 200
2039 188
2040 181
2041 124
2042 194
2043 196
2044 183
2045 189
2046 195
2047 180
2048 195
2049 167
2050 207
# AFR-22_rs_onset_NCC-NorESM1-M_r1i1p1_GERICS-REMO2015
