#time june_total
1950 135.82332
1951 157.97514
1952 92.713806
1953 147.11302
1954 172.19856
1955 93.20964
1956 106.32828
1957 84.20061
1958 55.461124
1959 170.44861
1960 88.4391
1961 143.12349
1962 83.21591
1963 35.31577
1964 60.18606
1965 56.318886
1966 205.29788
1967 184.36748
1968 141.99692
1969 70.86766
1970 164.53995
1971 131.75981
1972 139.44829
1973 76.63972
1974 106.94993
1975 83.7067
1976 138.4872
1977 50.026333
1978 68.82575
1979 80.864365
1980 31.211472
1981 103.8067
1982 63.36138
1983 149.19174
1984 61.050766
1985 158.56152
1986 153.48154
1987 93.43598
1988 97.64751
1989 91.36063
1990 63.46375
1991 81.46288
1992 183.49579
1993 52.313133
1994 76.02278
1995 96.471535
1996 71.84698
1997 152.4098
1998 53.440113
1999 29.931963
2000 48.48076
2001 99.24074
2002 188.37799
2003 35.47399
2004 86.05082
2005 95.839645
2006 126.8315
2007 121.47636
2008 83.99799
2009 60.016914
2010 47.1304
2011 112.09495
2012 81.687164
2013 153.98163
2014 31.16737
2015 193.29593
2016 180.04529
2017 69.716934
2018 167.4459
2019 47.97888
2020 157.30988
2021 96.286705
2022 106.53116
2023 97.63415
2024 155.91747
2025 48.551334
2026 121.84301
2027 48.10778
2028 75.348366
2029 83.01417
2030 143.97612
2031 80.83524
2032 91.783905
2033 43.484776
2034 131.94107
2035 93.36499
2036 74.26369
2037 57.12535
2038 41.79623
2039 115.24733
2040 53.885384
2041 70.9132
2042 155.35307
2043 64.24057
2044 91.76248
2045 67.05256
2046 90.1535
2047 96.51837
2048 44.451435
2049 127.66163
2050 101.98402
# variable [mm d-1]
# AFR-44_june_total_ICHEC-EC-EARTH_r12i1p1_CLMcom-CCLM4-8-17
