#time rs_duration
1950 52
1951 55
1952 61
1953 72
1954 64
1955 70
1956 70
1957 36
1958 77
1959 96
1960 49
1961 67
1962 90
1963 87
1964 101
1965 57
1966 77
1967 50
1968 79
1969 50
1970 66
1971 77
1972 88
1973 58
1974 61
1975 86
1976 87
1977 93
1978 73
1979 64
1980 59
1981 75
1982 75
1983 67
1984 58
1985 86
1986 74
1987 65
1988 71
1989 52
1990 123
1991 69
1992 86
1993 71
1994 85
1995 61
1996 80
1997 69
1998 74
1999 66
2000 74
2001 40
2002 72
2003 54
2004 51
2005 71
# AFR-44_rs_duration_ICHEC-EC-EARTH_r12i1p1_KNMI-RACMO22T
