#time rs_duration
1950 64
1951 53
1952 81
1953 101
1954 68
1955 119
1956 74
1957 69
1958 55
1959 116
1960 33
1961 73
1962 63
1963 85
1964 71
1965 102
1966 88
1967 84
1968 76
1969 57
1970 92
1971 66
1972 69
1973 54
1974 55
1975 83
1976 61
1977 92
1978 84
1979 79
1980 68
1981 51
1982 77
1983 55
1984 113
1985 62
1986 63
1987 101
1988 87
1989 57
1990 60
1991 116
1992 54
1993 64
1994 57
1995 103
1996 56
1997 134
1998 52
1999 99
2000 122
2001 73
2002 100
2003 71
2004 70
2005 99
2006 107
2007 76
2008 77
2009 61
2010 86
2011 73
2012 98
2013 85
2014 107
2015 105
2016 81
2017 38
2018 97
2019 69
2020 83
2021 50
2022 66
2023 52
2024 87
2025 93
2026 80
2027 112
2028 61
2029 73
2030 105
2031 77
2032 76
2033 76
2034 80
2035 114
2036 95
2037 86
2038 100
2039 71
2040 130
2041 125
2042 94
2043 106
2044 73
2045 91
2046 88
2047 118
2048 125
2049 72
2050 90
# AFR-44_rs_duration_MOHC-HadGEM2-ES_r1i1p1_KNMI-RACMO22T
