#time rs_duration
1950 97
1951 86
1952 73
1953 83
1954 67
1955 115
1956 86
1957 91
1958 109
1959 79
1960 84
1961 113
1962 54
1963 85
1964 108
1965 87
1966 54
1967 79
1968 114
1969 77
1970 75
1971 59
1972 101
1973 86
1974 67
1975 93
1976 62
1977 76
1978 101
1979 101
1980 103
1981 85
1982 67
1983 57
1984 68
1985 89
1986 81
1987 118
1988 91
1989 87
1990 71
1991 92
1992 124
1993 81
1994 107
1995 44
1996 71
1997 83
1998 75
1999 72
2000 84
2001 104
2002 112
2003 102
2004 87
2005 98
# AFR-44_rs_duration_NOAA-GFDL-GFDL-ESM2G_r1i1p1_GERICS-REMO2009
