#time rs_onset
1950 195
1951 188
1952 188
1953 132
1954 190
1955 134
1956 189
1957 177
1958 189
1959 148
1960 214
1961 165
1962 181
1963 156
1964 199
1965 156
1966 166
1967 175
1968 159
1969 188
1970 168
1971 185
1972 190
1973 184
1974 224
1975 157
1976 184
1977 175
1978 190
1979 195
1980 174
1981 172
1982 191
1983 132
1984 176
1985 231
1986 126
1987 174
1988 149
1989 121
1990 176
1991 147
1992 178
1993 166
1994 206
1995 162
1996 193
1997 126
1998 186
1999 180
2000 144
2001 176
2002 161
2003 185
2004 175
2005 157
2006 129
2007 193
2008 177
2009 176
2010 176
2011 199
2012 147
2013 186
2014 155
2015 136
2016 166
2017 146
2018 179
2019 191
2020 179
2021 191
2022 202
2023 190
2024 158
2025 145
2026 179
2027 152
2028 188
2029 184
2030 132
2031 183
2032 141
2033 168
2034 168
2035 182
2036 188
2037 176
2038 169
2039 179
2040 154
2041 142
2042 162
2043 145
2044 193
2045 181
2046 172
2047 142
2048 134
2049 187
2050 174
# AFR-44_rs_onset_MOHC-HadGEM2-ES_r1i1p1_KNMI-RACMO22T
