# contact :: UKCP-land-gcm (14) max temperatures Argentina/Paraguay heatwave 2022, c.barnes22@imperial.ac.uk 
# temperature [degC] 7-day max tmax Argentina/Paraguay at AR-PY_tasmax-7day_UKCP-land-gcm_14
# year tmax
1950 36.53071
1951 36.42901
1952 35.45884
1953 36.26114
1954 36.47095
1955 35.44192
1956 35.66484
1957 35.79093
1958 36.18488
1959 35.81416
1960 37.8281
1961 37.78149
1962 36.99547
1963 36.78876
1964 36.23408
1965 34.48728
1966 38.18831
1967 36.56726
1968 36.528
1969 36.51556
1970 36.09002
1971 34.93434
1972 38.13758
1973 36.38654
1974 38.14767
1975 36.51244
1976 36.76329
1977 37.06222
1978 37.78023
1979 37.16641
1980 36.83773
1981 38.46657
1982 36.61613
1983 37.42309
1984 36.93587
1985 37.91309
1986 37.39715
1987 39.38568
1988 36.02931
1989 37.4303
1990 37.98702
1991 36.03319
1992 38.74488
1993 39.5645
1994 36.36033
1995 39.03611
1996 36.50769
1997 35.73439
1998 38.39534
1999 35.50307
2000 35.92234
2001 37.117
2002 37.07579
2003 36.99414
2004 39.16681
2005 37.92131
2006 38.84845
2007 37.86581
2008 37.86208
2009 37.96306
2010 37.2255
2011 37.62709
2012 36.01668
2013 37.37314
2014 38.14036
2015 37.21538
2016 37.05399
2017 38.18921
2018 38.15749
2019 40.50997
2020 38.78283
2021 37.46226
2022 38.99774
2023 37.93394
2024 38.50422
2025 37.98506
2026 38.52381
2027 38.96144
2028 38.89337
2029 39.35149
2030 39.02713
2031 38.05469
2032 40.8532
2033 39.659
2034 39.69552
2035 38.33334
2036 39.15874
2037 38.62302
2038 39.43819
2039 38.94539
2040 39.07049
2041 38.73906
2042 39.25298
2043 41.45707
2044 40.9141
2045 40.71713
2046 41.17923
2047 40.4152
2048 40.29579
2049 40.88749
2050 41.19607
