# contact :: HighResMIP HadGEM3-GC31-HM OND precip central South America drought 2023, c.barnes22@imperial.ac.uk 
# precip [mm/day] OND mean precipitation rate at CSA-drought_pr-ond_highresSST_HadGEM3-GC31-HM
# year precip
1951 5.734352
1952 5.486152
1953 4.093001
1954 4.811721
1955 5.751399
1956 4.06239
1957 4.73315
1958 5.439866
1959 4.455357
1960 4.413546
1961 5.319909
1962 4.902822
1963 4.530231
1964 4.685847
1965 3.859164
1966 6.356408
1967 5.026113
1968 5.336502
1969 4.283046
1970 5.03259
1971 3.982476
1972 4.585829
1973 4.868804
1974 4.584909
1975 4.579654
1976 3.227373
1977 5.789463
1978 4.815772
1979 4.205874
1980 4.694524
1981 5.031253
1982 4.377
1983 6.077374
1984 5.239088
1985 4.711382
1986 4.245589
1987 5.463527
1988 5.458532
1989 3.256691
1990 4.7813
1991 5.690778
1992 3.825585
1993 3.969747
1994 5.21148
1995 5.116585
1996 4.160472
1997 3.676598
1998 6.275622
1999 4.343422
2000 4.471168
2001 4.600589
2002 4.887877
2003 5.486405
2004 4.581318
2005 5.083844
2006 5.40578
2007 6.18245
2008 4.430609
2009 4.083034
2010 5.169163
2011 2.469529
2012 4.557431
2013 4.453112
2014 5.034831
2015 4.816221
2016 6.366349
2017 4.894565
2018 3.760692
2019 4.750775
2020 4.727987
2021 4.499588
2022 4.885178
2023 5.462758
2024 5.158564
2025 3.103617
2026 5.851218
2027 5.164569
2028 5.245275
2029 5.615974
2030 4.36325
2031 4.417285
2032 4.212813
2033 3.823531
2034 4.798635
2035 4.561116
2036 3.410246
2037 4.848196
2038 4.821793
2039 5.351298
2040 5.121391
2041 5.530514
2042 5.788991
2043 5.341773
2044 3.946254
2045 3.64673
2046 4.707839
2047 3.732137
2048 4.205307
2049 5.277158
2050 4.482715
2051 5.688212
