# contact :: CPC OND PET - East Africa drought 2023, c.barnes22@imperial.ac.uk 
# pet_ond [mm] OND accumulated potential evapotranspiration (Thornthwaite) at EA-drought_pet-ond_cpc
# year pet_ond
1979 13.561972532254067
1980 14.336565878865965
1981 13.674664797765885
1982 12.597433623129774
1983 14.639498612914766
1984 13.077359183169225
1985 13.179029551961696
1986 14.14571814901278
1987 14.757915533785209
1988 13.178999610028812
1989 12.697891633613562
1990 13.269987665024015
1991 14.148508122348723
1992 12.411686703607103
1993 12.560403377279767
1994 11.018549261878544
1995 12.506145540272117
1996 12.192075827561549
1997 11.139005865200556
1998 12.82926359395395
1999 12.306643037442194
2000 13.45767552031719
2001 13.657265055296998
2002 13.150754547125105
2003 13.277371049126794
2004 12.798635926979156
2005 14.92089530314114
2006 13.287887618295251
2007 13.163442257503057
2008 13.866948400523937
2009 13.9368414124631
2010 14.85035682533644
2011 12.30044177468237
2012 14.603855915710461
2013 13.472162556749673
2014 14.476307486684949
2015 15.515366486202929
2016 14.926416837849132
2017 14.414318143832336
2018 13.64834601433023
2019 12.475754165640048
2020 15.006184817919287
2021 15.27791675204264
2022 14.485399242288272
