# contact :: CHIRPS 0.5deg 12m accumulated precip - East Africa drought 2023, c.barnes22@imperial.ac.uk 
# pr_12 [mm] 1-year accumulated precipitation at EA-drought_pr-12_chirps05
# year pr_12
1981 562.11206
1982 605.3157
1983 339.28702
1984 370.65244
1985 433.47006
1986 439.6478
1987 437.74164
1988 472.9926
1989 516.4456
1990 524.2977
1991 390.65308
1992 398.5783
1993 388.8464
1994 528.7381
1995 446.1506
1996 356.51996
1997 897.0821
1998 428.664
1999 370.8124
2000 364.4717
2001 378.04883
2002 513.3129
2003 452.99347
2004 436.3892
2005 341.21613
2006 641.3774
2007 435.19495
2008 400.16992
2009 408.21603
2010 425.09488
2011 502.36224
2012 431.01404
2013 550.42255
2014 438.92273
2015 517.3274
2016 380.12283
2017 391.63028
2018 625.8583
2019 651.6199
2020 533.2088
2021 365.09552
2022 340.83194
