# contact :: CHIRPS 0.5deg OND precip - East Africa drought 2023, c.barnes22@imperial.ac.uk 
# pr_ond [mm] OND accumulated precipitation at EA-drought_pr-ond_chirps05
# year pr_ond
1981 117.16381
1982 278.31644
1983 95.95841
1984 165.4593
1985 108.219925
1986 133.42172
1987 106.921875
1988 137.43741
1989 203.61742
1990 170.01755
1991 101.331985
1992 172.45555
1993 127.720276
1994 251.39636
1995 153.1385
1996 99.6419
1997 554.4063
1998 89.714905
1999 158.1313
2000 171.47215
2001 145.98567
2002 228.0804
2003 152.89673
2004 205.91145
2005 82.42058
2006 343.63605
2007 160.11584
2008 149.30278
2009 205.73195
2010 85.6043
2011 314.80597
2012 185.59755
2013 180.00032
2014 161.09135
2015 226.87256
2016 121.80376
2017 158.64272
2018 174.5804
2019 416.7724
2020 135.15497
2021 132.91579
2022 131.98376
