# contact :: TAMSAT rx5day-MAM - DRC/Rwanda floods 2023, c.barnes22@imperial.ac.uk 
# rx5day [mm] March/April/May maxima of 5-day accumulated precipitation over 26E-31E, 5S-2N at drc-rw-floods_rx5day-mam_tamsat_26_31_-5_2
# year rx5day
2000 67.42425537109375
2001 41.7568359375
2002 48.01057815551758
2003 38.81111145019531
2004 60.875789642333984
2005 46.08449935913086
2006 41.51119613647461
2007 57.4393310546875
2008 39.58891296386719
2009 40.43754577636719
2010 67.42427062988281
2011 41.75685119628906
2012 48.01059341430664
2013 38.811126708984375
2014 60.87580490112305
2015 46.08451461791992
2016 41.51121139526367
2017 57.43934631347656
2018 39.58892822265625
2019 40.43756103515625
2020 47.08316421508789
2021 46.47300720214844
2022 52.47306823730469
2023 51.6088752746582
