#year gmst
1852 -1.5206261
1853 -1.5250006
1854 -1.5250006
1855 -1.5121202
1856 -1.4936323
1857 -1.4750719
1858 -1.4523249
1859 -1.4521017
1860 -1.4532366
1861 -1.4666042
1862 -1.504302
1863 -1.5316076
1864 -1.5667257
1865 -1.5559378
1866 -1.5172148
1867 -1.4820242
1868 -1.4565592
1869 -1.4740314
1870 -1.5027342
1871 -1.5119915
1872 -1.4877739
1873 -1.4433737
1874 -1.4045362
1875 -1.3864937
1876 -1.3921633
1877 -1.4091759
1878 -1.4249334
1879 -1.4421158
1880 -1.4680405
1881 -1.5043955
1882 -1.5535679
1883 -1.6278553
1884 -1.7096901
1885 -1.7777252
1886 -1.829135
1887 -1.8399677
1888 -1.8264303
1889 -1.8019629
1890 -1.7734356
1891 -1.7372856
1892 -1.6998653
1893 -1.6699076
1894 -1.6257353
1895 -1.6065454
1896 -1.5841331
1897 -1.564703
1898 -1.5635481
1899 -1.5386829
1900 -1.51999
1901 -1.4986277
1902 -1.4851046
1903 -1.5007715
1904 -1.5265245
1905 -1.5606518
1906 -1.5944891
1907 -1.6067171
1908 -1.5993547
1909 -1.5730543
1910 -1.5238018
1911 -1.4851294
1912 -1.4707346
1913 -1.478795
1914 -1.5056
1915 -1.519248
1916 -1.5098133
1917 -1.4821329
1918 -1.4600954
1919 -1.457798
1920 -1.456706
1921 -1.4741611
1922 -1.4911213
1923 -1.4997387
1924 -1.5323687
1925 -1.5396833
1926 -1.5264254
1927 -1.5135908
1928 -1.4740982
1929 -1.4533033
1930 -1.4504433
1931 -1.4444485
1932 -1.4500856
1933 -1.4407759
1934 -1.4135904
1935 -1.383853
1936 -1.3455477
1937 -1.3132277
1938 -1.2904129
1939 -1.2787781
1940 -1.2847109
1941 -1.2842808
1942 -1.2692709
1943 -1.2355261
1944 -1.1895914
1945 -1.171381
1946 -1.1776915
1947 -1.188694
1948 -1.2008114
1949 -1.197669
1950 -1.1845694
1951 -1.1734467
1952 -1.1623516
1953 -1.1461687
1954 -1.1305857
1955 -1.1251726
1956 -1.1130247
1957 -1.0863523
1958 -1.0664597
1959 -1.0435972
1960 -1.0376472
1961 -1.0450726
1962 -1.0398674
1963 -1.0380821
1964 -1.0315542
1965 -1.0462694
1966 -1.0718088
1967 -1.087964
1968 -1.0949764
1969 -1.0919886
1970 -1.0911989
1971 -1.091609
1972 -1.0905485
1973 -1.0790558
1974 -1.062046
1975 -1.0466213
1976 -1.0475111
1977 -1.047761
1978 -1.0374384
1979 -1.0181856
1980 -0.98561573
1981 -0.96745586
1982 -0.9836111
1983 -1.0334005
1984 -1.1108131
1985 -1.165163
1986 -1.1582575
1987 -1.0871325
1988 -0.9370394
1989 -0.7896271
1990 -0.68996716
1991 -0.6603193
1992 -0.7219744
1993 -0.79908466
1994 -0.8525448
1995 -0.85181713
1996 -0.7981396
1997 -0.73220444
1998 -0.67979145
1999 -0.65225124
2000 -0.64355946
2001 -0.6429815
2002 -0.64298916
2003 -0.6497812
2004 -0.63759327
2005 -0.6000204
2006 -0.55943775
2007 -0.50436497
2008 -0.45133972
2009 -0.40516758
2010 -0.35101986
2011 -0.2844572
2012 -0.24109936
2013 -0.23391438
2014 -0.22519398
2015 -0.21933842
2016 -0.17856884
2017 -0.101026535
2018 -0.025923729
2019 0.021168709
2020 0.034503937
2021 0.024601936
2022 0.005452156
2023 0.0
2024 -0.005385399
2025 0.0047426224
2026 0.028729439
2027 0.070996284
2028 0.1496458
2029 0.24110603
2030 0.31633377
2031 0.35539627
2032 0.3365736
2033 0.28003883
2034 0.22917843
2035 0.20852089
2036 0.2320509
2037 0.2982664
2038 0.38808918
2039 0.4751196
2040 0.5691395
2041 0.64618206
2042 0.72309685
2043 0.826272
2044 0.9283447
2045 1.0305595
2046 1.1150045
2047 1.1683245
2048 1.2077847
2049 1.2551451
2050 1.3038349
2051 1.3589725
2052 1.4283876
2053 1.4907055
2054 1.5539551
2055 1.6239424
2056 1.6869993
2057 1.7563848
2058 1.8269873
2059 1.8801451
2060 1.9152117
2061 1.9363489
2062 1.9694605
2063 2.015708
2064 2.0892496
2065 2.1920633
2066 2.2863703
2067 2.380826
2068 2.469943
2069 2.5389948
2070 2.620778
2071 2.7077303
2072 2.7903852
2073 2.8702326
2074 2.9128275
2075 2.9408674
2076 2.9738226
2077 3.0206957
2078 3.111333
2079 3.240449
2080 3.3978758
2081 3.5434332
2082 3.6727571
2083 3.7649813
2084 3.7952719
2085 3.8378286
2086 3.8941393
2087 3.9600382
2088 4.0802927
2089 4.2078524
2090 4.315179
2091 4.420434
2092 4.487069
2093 4.521556
2094 4.564269
2095 4.6181383
2096 4.6919775
2097 4.7965174
2098 4.9091253
2099 5.00603
