# contact :: MSWX April maxima of 1-day tmin - Sahel heat 2024, c.barnes22@imperial.ac.uk 
# tmin [degC] April maximum of 1-day minimum temperatures in southern Mali & Burkina Faso at sahel-heat_tn1x-april_mali-bf_mswx.dat
# year tmin
1979 27.64800262451172
1980 29.08957290649414
1981 28.865543365478516
1982 28.291563034057617
1983 29.30796241760254
1984 28.348112106323242
1985 28.169893264770508
1986 28.92130470275879
1987 27.298662185668945
1988 28.739269256591797
1989 26.99756622314453
1990 29.299333572387695
1991 28.861591339111328
1992 27.444570541381836
1993 28.02798843383789
1994 28.078889846801758
1995 27.91037940979004
1996 28.091577529907227
1997 26.42928123474121
1998 28.731351852416992
1999 28.385974884033203
2000 27.433019638061523
2001 27.90937614440918
2002 28.538972854614258
2003 29.558176040649414
2004 29.451942443847656
2005 29.304622650146484
2006 28.069589614868164
2007 29.66888999938965
2008 29.052303314208984
2009 28.958446502685547
2010 30.703052520751953
2011 29.249542236328125
2012 29.04094886779785
2013 27.9412784576416
2014 28.336971282958984
2015 28.051359176635742
2016 30.70762825012207
2017 28.51096534729004
2018 28.48579216003418
2019 29.322160720825195
2020 29.941375732421875
2021 29.154010772705078
2022 28.96282958984375
2023 28.02437400817871
2024 30.36298370361328
