# contact :: MSWX April maxima of 3-day tmin - Sahel heat 2024, c.barnes22@imperial.ac.uk 
# tmin [degC] April maximum of 3-day minimum temperatures across West Africa region at sahel-heat_tn3x-april_-16_20_10_17_mswx.dat
# year tmin
1979 26.547300338745117
1980 27.848196029663086
1981 27.515365600585938
1982 27.005931854248047
1983 27.384593963623047
1984 27.318721771240234
1985 26.162269592285156
1986 27.244586944580078
1987 25.491331100463867
1988 27.279861450195312
1989 26.298612594604492
1990 28.22261619567871
1991 28.319290161132812
1992 26.40180778503418
1993 26.957998275756836
1994 27.82884979248047
1995 26.99587059020996
1996 26.811779022216797
1997 26.31142807006836
1998 28.505531311035156
1999 26.968669891357422
2000 26.392528533935547
2001 27.5775203704834
2002 27.23847007751465
2003 27.760711669921875
2004 27.234859466552734
2005 28.271820068359375
2006 27.12959861755371
2007 27.67578125
2008 26.69167709350586
2009 27.876554489135742
2010 29.301305770874023
2011 27.742259979248047
2012 27.74097442626953
2013 26.482147216796875
2014 27.491130828857422
2015 27.240493774414062
2016 28.790151596069336
2017 27.7274169921875
2018 27.710556030273438
2019 27.48886489868164
2020 28.88881492614746
2021 27.386764526367188
2022 27.51065444946289
2023 27.43060874938965
2024 27.92474937438965
