# contact :: CPC April maxima of 1-day tmax - Sahel heat 2024, c.barnes22@imperial.ac.uk 
# tmax [degC] April maximum of 1-day maximum temperatures in southern Mali & Burkina Faso at sahel-heat_tx1x-april_mali-bf_cpc.dat
# year tmax
1979 42.1685791015625
1980 41.911834716796875
1981 42.109107971191406
1982 40.830604553222656
1983 41.964813232421875
1984 41.12574005126953
1985 39.56998825073242
1986 42.88325881958008
1987 42.27121353149414
1988 41.79172134399414
1989 41.970401763916016
1990 42.1295280456543
1991 42.424652099609375
1992 41.13228988647461
1993 41.41761016845703
1994 42.2781867980957
1995 41.40933609008789
1996 41.286373138427734
1997 40.682395935058594
1998 42.8853759765625
1999 41.733760833740234
2000 42.49138641357422
2001 41.736454010009766
2002 42.096805572509766
2003 42.5669059753418
2004 41.17550277709961
2005 41.72015380859375
2006 42.5949821472168
2007 42.43836975097656
2008 41.8105583190918
2009 42.396263122558594
2010 42.62736129760742
2011 42.674171447753906
2012 42.33437728881836
2013 42.02545166015625
2014 42.15864944458008
2015 42.45059585571289
2016 43.365936279296875
2017 42.43885803222656
2018 42.186119079589844
2019 41.65635299682617
2020 43.527462005615234
2021 43.047298431396484
2022 42.37175750732422
2023 42.09893035888672
2024 44.363826751708984
