# contact :: MSWX April maxima of 1-day tmax - Sahel heat 2024, c.barnes22@imperial.ac.uk 
# tmax [degC] April maximum of 1-day maximum temperatures in southern Mali & Burkina Faso at sahel-heat_tx1x-april_mali-bf_mswx.dat
# year tmax
1979 39.16527557373047
1980 40.32627868652344
1981 40.15216827392578
1982 38.75200653076172
1983 39.87028503417969
1984 39.62691879272461
1985 37.807193756103516
1986 41.108863830566406
1987 39.92925262451172
1988 39.84202575683594
1989 39.837974548339844
1990 39.665374755859375
1991 40.22500228881836
1992 39.06372833251953
1993 39.283287048339844
1994 40.450111389160156
1995 39.31690216064453
1996 38.478370666503906
1997 38.051185607910156
1998 40.608192443847656
1999 39.914459228515625
2000 39.75393295288086
2001 39.907623291015625
2002 39.972557067871094
2003 40.157047271728516
2004 38.92915344238281
2005 40.076805114746094
2006 40.438697814941406
2007 40.51591110229492
2008 39.76116943359375
2009 39.76816177368164
2010 40.323055267333984
2011 40.43031311035156
2012 40.215614318847656
2013 39.854637145996094
2014 40.843379974365234
2015 40.2247200012207
2016 41.07892990112305
2017 40.00825881958008
2018 40.15933609008789
2019 40.41172409057617
2020 41.0946159362793
2021 40.74647521972656
2022 40.33384704589844
2023 39.94624328613281
2024 42.32755661010742
