# contact :: MSWX spring maxima of 1-day tmax - Sahel heat 2024, c.barnes22@imperial.ac.uk 
# tmax [degC] March-May maximum of 1-day maximum temperatures across West Africa region at sahel-heat_tx1x-mam_-16_20_10_17_mswx.dat
# year tmax
1979 39.723106384277344
1980 40.69557189941406
1981 40.080299377441406
1982 38.932804107666016
1983 40.7338981628418
1984 40.002315521240234
1985 39.569488525390625
1986 41.17843246459961
1987 40.56279373168945
1988 40.2425422668457
1989 39.424232482910156
1990 40.48005294799805
1991 41.15586471557617
1992 38.9715461730957
1993 40.06040954589844
1994 40.878726959228516
1995 39.567630767822266
1996 40.0440559387207
1997 39.25716018676758
1998 41.62820053100586
1999 40.089229583740234
2000 40.389183044433594
2001 40.6270637512207
2002 40.82115173339844
2003 40.66449737548828
2004 40.36170959472656
2005 40.02894973754883
2006 39.88059997558594
2007 40.917503356933594
2008 40.607452392578125
2009 40.285743713378906
2010 41.55840301513672
2011 40.815635681152344
2012 41.01182174682617
2013 40.25037384033203
2014 40.34306716918945
2015 40.8221435546875
2016 41.01113510131836
2017 40.5642204284668
2018 40.58822250366211
2019 41.91092300415039
2020 41.43086242675781
2021 41.19308853149414
2022 41.13637924194336
2023 40.275115966796875
2024 42.201866149902344
