# contact :: MSWX spring maxima of 1-day tmax - Sahel heat 2024, c.barnes22@imperial.ac.uk 
# tmax [degC] March-May maximum of 1-day maximum temperatures in southern Mali & Burkina Faso at sahel-heat_tx1x-mam_mali-bf_mswx.dat
# year tmax
1979 39.542476654052734
1980 40.32627868652344
1981 40.15216827392578
1982 39.42301940917969
1983 40.306373596191406
1984 39.76759719848633
1985 39.81220626831055
1986 41.108863830566406
1987 41.00757598876953
1988 40.14006423950195
1989 39.837974548339844
1990 39.665374755859375
1991 40.22500228881836
1992 39.06372833251953
1993 40.66276550292969
1994 40.450111389160156
1995 39.42901611328125
1996 39.625099182128906
1997 38.0997200012207
1998 40.608192443847656
1999 39.914459228515625
2000 40.41393280029297
2001 40.363216400146484
2002 40.66817855834961
2003 40.157047271728516
2004 40.26389694213867
2005 40.076805114746094
2006 40.438697814941406
2007 40.51591110229492
2008 40.341636657714844
2009 40.36723709106445
2010 40.323055267333984
2011 40.43031311035156
2012 40.85115051269531
2013 40.728965759277344
2014 40.843379974365234
2015 40.68410110473633
2016 41.07892990112305
2017 40.81243133544922
2018 41.004966735839844
2019 41.96481704711914
2020 41.0946159362793
2021 40.74647521972656
2022 40.33384704589844
2023 40.47858428955078
2024 42.32755661010742
